placa,nombre,email,telefono,tipo_usuario,tiene_tag,tag_id,saldo_disponible
P-654CTG,Luis Ruiz,luis.ruiz0@email.com,50293197857,registrado,true,TAG-109,25.57
P-095FNA,Pedro Morales,pedro.morales1@email.com,50276306997,registrado,true,TAG-072,406.62
P-006TEK,Ricardo Torres,ricardo.torres2@email.com,50248898923,registrado,false,,
P-094JJI,Ricardo López,ricardo.lópez3@email.com,50281662963,registrado,true,TAG-097,48.61
P-300VQW,Héctor Castro,héctor.castro4@email.com,50229335534,registrado,true,TAG-059,388.80
P-081WWJ,Diego Flores,diego.flores5@email.com,50241831063,registrado,true,TAG-054,338.39
P-718YQP,Sofía Morales,sofía.morales6@email.com,50252857966,registrado,true,TAG-098,142.27
P-947QOR,María Molina,maría.molina7@email.com,50224308421,registrado,false,,
P-067FYW,Jorge Castro,jorge.castro8@email.com,50287005685,registrado,true,TAG-118,80.01
P-142GOG,Héctor Cruz,héctor.cruz9@email.com,50298320463,registrado,true,TAG-057,498.69
P-141NCB,Ana Torres,ana.torres10@email.com,50241472420,registrado,false,,
P-065KPM,Ricardo Morales,ricardo.morales11@email.com,50221540956,registrado,false,,
P-906NGQ,Ana Ramírez,ana.ramírez12@email.com,50278353204,registrado,true,TAG-001,477.37
P-896SZT,Pablo Ruiz,pablo.ruiz13@email.com,50260056581,registrado,false,,43.79
P-382TOU,Pablo Pérez,pablo.pérez14@email.com,50263507489,registrado,true,TAG-029,465.26
P-899ZUG,Diana Ramos,diana.ramos15@email.com,50230570592,registrado,true,TAG-125,409.85
P-778NDR,Lucía Méndez,lucía.méndez16@email.com,50255575298,registrado,true,TAG-109,482.54
P-951OSF,Andrea Gutiérrez,andrea.gutiérrez17@email.com,50270119651,registrado,true,TAG-133,231.23
P-253FIP,Diana Ramos,diana.ramos18@email.com,50249557077,registrado,true,TAG-016,122.18
P-927AIN,Ricardo Santos,ricardo.santos19@email.com,50248754377,registrado,true,TAG-147,292.34
P-248UUE,Ana Cruz,ana.cruz20@email.com,50267553014,registrado,true,TAG-120,433.28
P-055RZC,Fernando Hernández,fernando.hernández21@email.com,50234665841,registrado,true,TAG-049,272.78
P-143KHG,Carlos Vargas,carlos.vargas22@email.com,50293863413,registrado,true,TAG-139,419.65
P-992CTG,Gabriela Santos,gabriela.santos23@email.com,50284606833,registrado,true,TAG-103,452.20
P-168JZG,Diego Ramírez,diego.ramírez24@email.com,50276775103,registrado,false,,157.76
P-677SEH,María Ramos,maría.ramos25@email.com,50292772208,registrado,true,TAG-081,38.01
P-598MXN,María Reyes,maría.reyes26@email.com,50230752378,registrado,false,,
P-069RGD,Héctor Molina,héctor.molina27@email.com,50297701200,registrado,true,TAG-021,215.42
P-597OIG,Jorge Molina,jorge.molina28@email.com,50255650176,registrado,true,TAG-077,234.04
P-951TBL,Héctor Ruiz,héctor.ruiz29@email.com,50229832887,registrado,true,TAG-130,139.95
P-955JBG,Andrea Méndez,andrea.méndez30@email.com,50278812137,registrado,false,,124.28
P-826RAV,Andrea Ruiz,andrea.ruiz31@email.com,50238024248,registrado,true,TAG-028,373.78
P-159HPS,Pedro Gómez,pedro.gómez32@email.com,50287834855,registrado,true,TAG-014,55.23
P-433VBI,Luis Gómez,luis.gómez33@email.com,50241687165,registrado,false,,88.40
P-009CYR,Luis Morales,luis.morales34@email.com,50224835614,registrado,false,,33.88
P-130BJY,María Flores,maría.flores35@email.com,50248195995,registrado,false,,73.97
P-573WKQ,Luis Molina,luis.molina36@email.com,50241810617,registrado,false,,176.88
P-025EYU,Gabriela Molina,gabriela.molina37@email.com,50255810056,registrado,true,TAG-028,197.45
P-039WFV,Diego Flores,diego.flores38@email.com,50260962024,registrado,false,,48.47
P-675FIW,Ricardo Flores,ricardo.flores39@email.com,50288371272,registrado,true,TAG-138,172.26
P-028CZE,Ricardo López,ricardo.lópez40@email.com,50234549543,registrado,true,TAG-089,366.99
P-321LZD,Héctor Castro,héctor.castro41@email.com,50254188276,registrado,true,TAG-112,10.83
P-947URY,Pedro Flores,pedro.flores42@email.com,50277887757,registrado,true,TAG-085,315.35
P-679WSH,Andrea Cruz,andrea.cruz43@email.com,50263779528,registrado,true,TAG-076,281.66
P-196KYR,Sofía Domínguez,sofía.domínguez44@email.com,50296384014,registrado,true,TAG-141,418.53
P-311HLP,Jorge Vargas,jorge.vargas45@email.com,50279295515,registrado,true,TAG-055,260.48
P-812XUE,Carlos Ramírez,carlos.ramírez46@email.com,50289182797,registrado,false,,23.21
P-974TRF,Pedro Torres,pedro.torres47@email.com,50223278320,registrado,true,TAG-122,309.52
P-786BKQ,Pedro Gutiérrez,pedro.gutiérrez48@email.com,50286354180,registrado,true,TAG-038,331.47
P-005XWX,Gabriela Molina,gabriela.molina49@email.com,50243607110,registrado,false,,95.59
P-570GWL,Diego Reyes,diego.reyes50@email.com,50295017682,registrado,true,TAG-114,310.20
P-736XLX,Diego Méndez,diego.méndez51@email.com,50283709724,registrado,true,TAG-064,421.53
P-283TNQ,Ricardo Vargas,ricardo.vargas52@email.com,50230399639,registrado,false,,
P-343IOD,Diana Gutiérrez,diana.gutiérrez53@email.com,50240509175,registrado,false,,
P-417IMB,Gabriela Gutiérrez,gabriela.gutiérrez54@email.com,50298393811,registrado,false,,
P-901TJA,Paola Ramírez,paola.ramírez55@email.com,50272343121,registrado,false,,86.71
P-765TUX,Monica Molina,monica.molina56@email.com,50256632757,registrado,true,TAG-008,200.54
